url,verdict,coverageState,robotsTxtState,indexingState,pageFetchState,lastCrawlTime,canonicalUrl_user,canonicalUrl_google,sitemaps
https://activitywiz.com/he/youth,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-12T10:25:11Z,https://activitywiz.com/he/youth,https://activitywiz.com/he/youth,
https://activitywiz.com/en/youth,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-13T00:49:35Z,https://activitywiz.com/en/youth,https://activitywiz.com/en/youth,
https://activitywiz.com/es/youth,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-05T20:47:54Z,https://activitywiz.com/es/youth,https://activitywiz.com/es/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/ar/youth,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-04T05:08:31Z,https://activitywiz.com/ar/youth,https://activitywiz.com/ar/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/faq,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-07-30T06:07:53Z,https://activitywiz.com/he/youth/faq,https://activitywiz.com/he/youth/faq,
https://activitywiz.com/en/youth/faq,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:22:04Z,https://activitywiz.com/en/youth/faq,https://activitywiz.com/en/youth/faq,https://activitywiz.com/sitemap.xml
https://activitywiz.com/es/youth/faq,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-04T11:41:34Z,,https://activitywiz.com/es/youth/faq,
https://activitywiz.com/ar/youth/faq,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-04T11:42:04Z,,https://activitywiz.com/ar/youth/faq,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content,NEUTRAL,"Duplicate, Google chose different canonical than user",ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-11T05:30:04Z,https://activitywiz.com/he/youth/content,https://activitywiz.com/en/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/popular,NEUTRAL,"Duplicate, Google chose different canonical than user",ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-04T18:48:28Z,https://activitywiz.com/he/youth/content/popular,https://activitywiz.com/en/youth,
https://activitywiz.com/he/youth/content/games,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:52:43Z,https://activitywiz.com/en/youth/content/games,https://activitywiz.com/he/youth/content/games,
https://activitywiz.com/he/youth/content/holidays,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:19:52Z,https://activitywiz.com/en/youth/content/holidays,https://activitywiz.com/he/youth/content/holidays,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/israel,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:21:32Z,https://activitywiz.com/en/youth/content/israel,https://activitywiz.com/he/youth/content/israel,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/personalities,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T22:23:11Z,https://activitywiz.com/en/youth/content/personalities,https://activitywiz.com/he/youth/content/personalities,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/intro,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:21:42Z,https://activitywiz.com/en/youth/content/intro,https://activitywiz.com/he/youth/content/intro,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/friendship,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:26:44Z,https://activitywiz.com/en/youth/content/friendship,https://activitywiz.com/he/youth/content/friendship,
https://activitywiz.com/he/youth/content/sevenOct,NEUTRAL,Duplicate without user-selected canonical,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-12T16:41:08Z,,https://activitywiz.com/en/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/responsibility,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:24:51Z,https://activitywiz.com/en/youth/content/responsibility,https://activitywiz.com/he/youth/content/responsibility,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/environmental,NEUTRAL,Duplicate without user-selected canonical,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-12T20:15:21Z,,https://activitywiz.com/en/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/seasons,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:28:24Z,https://activitywiz.com/en/youth/content/seasons,https://activitywiz.com/he/youth/content/seasons,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/movies,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:21:04Z,https://activitywiz.com/en/youth/content/movies,https://activitywiz.com/he/youth/content/movies,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/traffic,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:54:47Z,https://activitywiz.com/en/youth/content/traffic,https://activitywiz.com/he/youth/content/traffic,
https://activitywiz.com/he/youth/content/animals,NEUTRAL,"Duplicate, Google chose different canonical than user",ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-08-11T16:33:10Z,https://activitywiz.com/he/youth/content/animals,https://activitywiz.com/en/youth,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/teamwork,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:52:48Z,https://activitywiz.com/en/youth/content/teamwork,https://activitywiz.com/he/youth/content/teamwork,
https://activitywiz.com/he/youth/content/superhero,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:28:14Z,https://activitywiz.com/en/youth/content/superhero,https://activitywiz.com/he/youth/content/superhero,https://activitywiz.com/sitemap.xml
https://activitywiz.com/he/youth/content/harassment,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,2025-06-16T16:28:25Z,https://activitywiz.com/en/youth/content/harassment,https://activitywiz.com/he/youth/content/harassment,
